organization_name,url,type,source_url,confidence_score,extraction_method,description
University of Melbourne,https://www.universityliving.com/blog/admission-guide/university-of-melbourne/,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Waterloo,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#5_University_of_Waterloo,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
University of Ottawa,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#9_University_of_Ottawa,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
University of Alberta,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#4_University_of_Alberta,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
University of Sydney,https://www.universityliving.com/blog/admission-guide/university-of-sydney/,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Queensland,https://www.universityliving.com/blog/admission-guide/university-of-queensland/,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of New South Wales,https://www.universityliving.com/blog/admission-guide/university-of-new-south-wales/,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Western Australia,https://www.universityliving.com/australia/perth/u/the-university-of-western-australia,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Adelaide,https://www.universityliving.com/australia/adelaide/u/the-university-of-adelaide,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Technology Sydney,https://www.universityliving.com/australia/sydney/u/university-of-technology-sydney-(uts),university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Wollongong,https://www.universityliving.com/blog/admission-guide/university-of-wollongong/,university,https://www.universityliving.com/blog/admission-guide/mbbs-colleges-in-australia/,1.1,blog_content_heading,"Found in article: Top 10 MBBS Colleges In Australia 2025-26: Admission, Fees, Top Courses"
University of Queensland (UQ),https://www.universityliving.com/blog/admission-guide/university-of-queensland/,university,https://www.universityliving.com/blog/admission-guide/phd-in-australia/,1.1,blog_content_emphasis,"Found in article: PhD in Australia for International Students: Top Universities, Fees & Eligibility [2025 Guide]"
University of New South Wales (UNSW Sydney),https://www.universityliving.com/blog/admission-guide/university-of-new-south-wales/,university,https://www.universityliving.com/blog/admission-guide/phd-in-australia/,1.1,blog_content_emphasis,"Found in article: PhD in Australia for International Students: Top Universities, Fees & Eligibility [2025 Guide]"
University of Western Australia (UWA),https://www.universityliving.com/blog/admission-guide/university-of-western-australia/,university,https://www.universityliving.com/blog/admission-guide/phd-in-australia/,1.1,blog_content_emphasis,"Found in article: PhD in Australia for International Students: Top Universities, Fees & Eligibility [2025 Guide]"
University of Adelaide,https://www.universityliving.com/blog/admission-guide/university-of-adelaide/,university,https://www.universityliving.com/blog/admission-guide/phd-in-australia/,1.1,blog_content_emphasis,"Found in article: PhD in Australia for International Students: Top Universities, Fees & Eligibility [2025 Guide]"
University of British Columbia,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#3_University_of_British_Columbia,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
University of Toronto,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#1_University_of_Toronto,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
"Southern Institute of Technology NZ: Courses, Fees, Rankings...",https://www.universityliving.com/blog/admission-guide/southern-institute-of-technology/,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_heading,Found in article: What are the top universities in Canada for international students?
"Southern Institute of Technology NZ: Courses, Fees, Rankings, Scholarship & More",https://www.universityliving.com/blog/admission-guide/southern-institute-of-technology/,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_heading,Found in article: What are the top universities in Canada for international students?
University Of Montreal,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#7_University_Of_Montreal,university,https://www.universityliving.com/blog/admission-guide/top-universities-in-canada/#What_are_the_top_universities_in_Canada_for_international_students,1.1,blog_content_list,Found in article: What are the top universities in Canada for international students?
Luther College,https://www.luthercollege.edu/,college,https://studying-in-canada.org/universities/,1.0999999999999999,link_analysis,Luther College Campion CollegeFirst Nations University of CanadaLuther CollegeSt. Thomas More CollegeUniversity of ReginaUniversity of Saskatchewan
"""Growth on track as Victoria's University Canada West honours graduates at second Convocation""",https://web.archive.org/web/20080610103255/http://www.universitycanadawest.ca/news/news_058.html,university,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,1.0999999999999999,link_analysis,"""Growth on track as Victoria's University Canada West honours graduates at second Convocation"". University Canada West. Archived fromthe originalon 2008-06-10. Retrieved2008-09-20. ""Growth on track as Victoria's University Canada West honours graduates at second Convocation"". University Canada West. Archived fromthe originalon 2008-06-10. Retrieved2008-09-20."
